	faith_pd
10317.000009132.2917	15.80064
10317.000029625.26531	12.502809999999998
10317.000089518.48742	13.13274
10317.000012990.2932	11.86698
10317.000029546.32981	15.47435
10317.000016481.2919	20.76738
10317.000009767.2905	13.01289
10317.000038312.26484	16.05189
10317.000013231.2911	19.62141
10317.000017757.3020	5.53345
10317.000041946.25501	8.5045
10317.000013243.3020	17.90766
10317.000012149.2917	18.05688
10317.000013255.3099	17.61712
10317.000066907.33800	9.25891
10317.000030569.4021	11.963860000000002
10317.000002704.2905	9.2696
10317.000046603.4033	7.5079899999999995
10317.000018442.3018	11.870310000000003
10317.000073788.50470	9.84661
10317.000023232.2982	13.498259999999998
10317.000005841.2946	6.553050000000002
10317.000029993.3022	18.12193
10317.000067833.26479	15.916549999999999
10317.000029623.2982	11.687710000000001
10317.000046344.7852	17.628680000000003
10317.000098917.56079	14.182759999999998
10317.000046437.25853	17.95197
10317.000048322.4583	22.761750000000003
10317.000032736.4016	14.78491
10317.000048958.4016	17.12651
10317.000060060.45578	12.41588
10317.000031875.25853	18.31694
10317.000004148.2907	17.44715
10317.000028849.3022	14.61244
10317.000031028.3099	9.661309999999999
10317.000002502.3098	17.93529
10317.000087044.45578	15.96964
10317.000040003.3516	17.267930000000003
10317.000089615.56187	14.668339999999997
10317.000028260.3022	20.41359
10317.000043166.4016	9.81313
10317.000013600.3018	12.41902
10317.000084238.42298	22.68096
10317.000005164.2960	7.50528
10317.000079009.45578	18.250279999999997
10317.000046903.4033	9.34347
10317.000046942.4033	16.19539
10317.000063349.26480	16.26587
10317.000074411.42299	24.808919999999997
10317.000047073.4033	14.63216
10317.000050517.46739	14.74641
10317.000039803.3098	16.11742
10317.000071928.30606	11.65579
10317.000021693.32981	18.076760000000004
10317.000008983.2907	15.54581
10317.000038269.25501	18.9308
10317.000067593.26479	12.823270000000003
10317.000022951.3022	8.25497
10317.000072573.50470	14.528280000000002
10317.000002087.2948	14.26891
10317.000042586.26484	21.158720000000002
10317.000041779.26484	16.35429
10317.000051242.7852	16.38525
10317.000049827.4016	8.307299999999998
10317.000015493.3020	5.572290000000001
10317.000014543.2923	12.56589
10317.000058998.33800	15.28537
10317.000004281.2946	17.24952
10317.000012450.32954	4.76849
10317.000046985.4033	15.827190000000002
10317.000035367.45578	13.138390000000001
10317.000053376.26531	9.39941
10317.000029596.2982	13.14714
10317.000031439.2982	13.271700000000001
10317.000101028.56079	14.833639999999999
10317.000074260.42299	14.51293
10317.000098411.62401	10.636169999999998
10317.000001192.2948	12.395870000000002
10317.000062984.25862	4.35666
10317.000006949.2905	7.00478
10317.000065980.26478	13.78739
10317.000026021.3022	16.32855
10317.000059222.26481	7.630889999999999
10317.000071387.26478	14.641100000000002
10317.000013912.2911	9.82391
10317.000068632.51570	18.52057
10317.000028823.4583	16.72714
10317.000015308.4016	18.014319999999998
10317.000012345.2932	17.00654
10317.000076200.41931	10.260359999999999
10317.000101092.62401	10.11978
10317.000008988.3018	17.581690000000002
10317.000013465.2917	16.783050000000003
10317.000029582.7852	19.833530000000003
10317.000030301.3099	13.514689999999998
10317.000042920.4491	21.067680000000003
10317.000043086.26481	12.45879
10317.000098999.54638	16.865540000000003
10317.000052294.4491	7.612850000000001
10317.000015140.2919	19.85964
10317.000020071.3018	14.362919999999999
10317.000047571.26478	13.153220000000001
10317.000074853.50470	14.0563
10317.000084362.42298	16.773229999999998
10317.000014111.2917	21.291749999999997
10317.000042899.25501	18.280299999999997
10317.000036170.7852	16.108370000000004
10317.000087038.52698	13.53425
10317.000030701.3516	7.55402
10317.000009105.2932	9.612179999999999
10317.000038148.26484	17.557830000000003
10317.000102651.62401	19.188039999999997
10317.000041939.3516	15.773019999999997
10317.000074691.42298	13.700630000000002
10317.000013953.2917	17.18254
10317.000036391.3099	15.45787
10317.000029393.3099	15.308499999999999
10317.000031221.2982	13.524370000000001
10317.000028077.3022	20.0875
10317.000089717.51570	20.757460000000002
10317.000032763.3098	13.74671
10317.000014896.2919	11.62716
10317.000007846.2926	9.25924
10317.000004157.2248	13.330639999999999
10317.000087661.45578	18.97739
10317.000026572.45578	4.5025900000000005
10317.000069374.45578	16.55283
10317.000030967.2982	18.202830000000002
10317.000074775.45578	9.7496
10317.000016185.30606	19.76252
10317.000010906.2917	14.397160000000003
10317.000006080.2905	21.151490000000003
